,CODIGOCIE,ESCOLA,DIRETORIA,MUNICIPIO,SERIE,IDPort,IDMat,IndDesemp,IndFluxo,IDESP,META,ORDEM,_REGICAO_NOME,_ANO,_DIRETORIA_ID,_MUNICIPIO_ID
54,016226,JOAO CLIMACO DE CAMARGO PIRES,SOROCABA,SOROCABA,9º ANO EF,"3,4590","3,0820","3,27","1,0000","3,27",,2,INTERIOR,2021,20308,669
55,016226,JOAO CLIMACO DE CAMARGO PIRES,SOROCABA,SOROCABA,3º ANO EM,"4,7317","2,9570","3,84","1,0000","3,84",,3,INTERIOR,2021,20308,669
56,011502,THEREZA SILVEIRA DE ALMEIDA PROFESSORA,SANTOS,GUARUJA,3º ANO EM,"2,4317","1,2297","1,83","1,0000","1,83",,3,INTERIOR,2021,20102,335
57,020862,PRUDENTE DOUTOR,PIRACICABA,PIRACICABA,9º ANO EF,"4,1183","3,4907","3,80","1,0000","3,80",,2,INTERIOR,2021,20410,535
58,021052,OLIVIA BIANCO PROFESSORA,PIRACICABA,PIRACICABA,9º ANO EF,"4,2603","3,3083","3,78","0,9982","3,77",,2,INTERIOR,2021,20410,535
59,021052,OLIVIA BIANCO PROFESSORA,PIRACICABA,PIRACICABA,3º ANO EM,"3,3333","1,5510","2,44","0,9508","2,32",,3,INTERIOR,2021,20410,535
60,020758,MIRANDOLINA DE ALMEIDA CANTO PROFESSORA,PIRACICABA,PIRACICABA,5º ANO EF,"5,3983","4,4167","4,91","1,0000","4,91",,1,INTERIOR,2021,20410,535
61,920770,MELLITA LOBENWEIN BRASILIENSE PROFESSORA,PIRACICABA,PIRACICABA,9º ANO EF,"5,2380","4,3913","4,81","1,0000","4,81",,2,INTERIOR,2021,20410,535
62,048355,MARIO DEDINI COMENDADOR,PIRACICABA,PIRACICABA,5º ANO EF,"4,6153","4,9993","4,81","1,0000","4,81",,1,INTERIOR,2021,20410,535
63,045861,MARIA DE LOURDES SILVEIRA COSENTINO PROFESSORA,PIRACICABA,PIRACICABA,9º ANO EF,"2,7967","2,0690","2,43","1,0000","2,43",,2,INTERIOR,2021,20410,535
64,045861,MARIA DE LOURDES SILVEIRA COSENTINO PROFESSORA,PIRACICABA,PIRACICABA,3º ANO EM,"2,0673","1,2657","1,67","1,0000","1,67",,3,INTERIOR,2021,20410,535
65,446038,MARCIA REGINA MODESTO DE PAULA DA ROCHA PROFESSORA,PIRACICABA,PIRACICABA,9º ANO EF,"2,8283","1,9193","2,37","0,9861","2,34",,2,INTERIOR,2021,20410,535
66,048331,MANASSES EPHRAIN PEREIRA PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"3,5677","3,1580","3,36","1,0000","3,36",,2,INTERIOR,2021,20410,535
67,016093,JOAQUIM IZIDORO MARINS PROFESSOR,SOROCABA,SOROCABA,9º ANO EF,"3,8213","2,5860","3,20","1,0000","3,20",,2,INTERIOR,2021,20308,669
68,016093,JOAQUIM IZIDORO MARINS PROFESSOR,SOROCABA,SOROCABA,3º ANO EM,"3,0153","1,7193","2,37","1,0000","2,37",,3,INTERIOR,2021,20308,669
69,021222,PEDRO CREM FILHO PROFESSOR,PIRACICABA,CHARQUEADA,9º ANO EF,"5,4390","4,3860","4,91","0,9938","4,88",,2,INTERIOR,2021,20410,266
70,021222,PEDRO CREM FILHO PROFESSOR,PIRACICABA,CHARQUEADA,3º ANO EM,"4,4047","2,2617","3,33","1,0000","3,33",,3,INTERIOR,2021,20410,266
71,021283,BENEDITO DUTRA TEIXEIRA PROFESSOR,PIRACICABA,CHARQUEADA,9º ANO EF,"3,5773","3,3333","3,46","1,0000","3,46",,2,INTERIOR,2021,20410,266
72,021283,BENEDITO DUTRA TEIXEIRA PROFESSOR,PIRACICABA,CHARQUEADA,3º ANO EM,"2,7143","1,1907","1,95","1,0000","1,95",,3,INTERIOR,2021,20410,266
73,047387,LUIZ GONZAGA DE CAMPOS TOLEDO DOUTOR,PIRACICABA,PIRACICABA,9º ANO EF,"3,0993","2,4560","2,78","1,0000","2,78",,2,INTERIOR,2021,20410,535
74,047387,LUIZ GONZAGA DE CAMPOS TOLEDO DOUTOR,PIRACICABA,PIRACICABA,3º ANO EM,"3,3333","1,4763","2,40","1,0000","2,40",,3,INTERIOR,2021,20410,535
75,037989,LUCIANO GUIDOTTI COMENDADOR,PIRACICABA,PIRACICABA,9º ANO EF,"3,0850","2,0397","2,56","1,0000","2,56",,2,INTERIOR,2021,20410,535
76,037989,LUCIANO GUIDOTTI COMENDADOR,PIRACICABA,PIRACICABA,3º ANO EM,"3,0300","2,1207","2,58","0,9810","2,53",,3,INTERIOR,2021,20410,535
77,919330,JURACY NEVES DE MELLO FERRACCIU PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"3,9093","3,2923","3,60","1,0000","3,60",,2,INTERIOR,2021,20410,535
78,919330,JURACY NEVES DE MELLO FERRACCIU PROFESSOR,PIRACICABA,PIRACICABA,3º ANO EM,"3,5093","2,0460","2,78","1,0000","2,78",,3,INTERIOR,2021,20410,535
79,021027,JOSE ROMAO PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"4,7700","3,8790","4,32","0,9955","4,30",,2,INTERIOR,2021,20410,535
80,021097,JOSE DE MELLO MORAES PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"4,9210","4,3917","4,66","1,0000","4,66",,2,INTERIOR,2021,20410,535
81,021097,JOSE DE MELLO MORAES PROFESSOR,PIRACICABA,PIRACICABA,3º ANO EM,"4,9570","2,8207","3,89","0,9947","3,87",,3,INTERIOR,2021,20410,535
82,021179,JORGE COURY DOUTOR,PIRACICABA,PIRACICABA,9º ANO EF,"3,9177","3,8007","3,86","1,0000","3,86",,2,INTERIOR,2021,20410,535
83,021179,JORGE COURY DOUTOR,PIRACICABA,PIRACICABA,3º ANO EM,"3,3327","2,2220","2,78","1,0000","2,78",,3,INTERIOR,2021,20410,535
84,040435,JOAO SAMPAIO DOUTOR,PIRACICABA,PIRACICABA,9º ANO EF,"3,4313","2,5160","2,97","0,9941","2,95",,2,INTERIOR,2021,20410,535
85,040435,JOAO SAMPAIO DOUTOR,PIRACICABA,PIRACICABA,3º ANO EM,"3,3327","1,7780","2,56","1,0000","2,56",,3,INTERIOR,2021,20410,535
86,040459,JOAO GUIDOTTI,PIRACICABA,PIRACICABA,9º ANO EF,"4,1133","2,9787","3,55","1,0000","3,55",,2,INTERIOR,2021,20410,535
87,040459,JOAO GUIDOTTI,PIRACICABA,PIRACICABA,3º ANO EM,"3,7717","1,6673","2,72","0,9947","2,71",,3,INTERIOR,2021,20410,535
88,020783,JOAO CONCEICAO DOUTOR,PIRACICABA,PIRACICABA,9º ANO EF,"3,2203","1,8643","2,54","1,0000","2,54",,2,INTERIOR,2021,20410,535
89,020783,JOAO CONCEICAO DOUTOR,PIRACICABA,PIRACICABA,3º ANO EM,"3,0040","1,2870","2,15","1,0000","2,15",,3,INTERIOR,2021,20410,535
90,917898,JOAO CHIARINI DOUTOR PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"3,7820","2,3080","3,05","1,0000","3,05",,2,INTERIOR,2021,20410,535
91,917898,JOAO CHIARINI DOUTOR PROFESSOR,PIRACICABA,PIRACICABA,3º ANO EM,"3,4523","1,5477","2,50","0,9914","2,48",,3,INTERIOR,2021,20410,535
92,021040,JOAO ALVES DE ALMEIDA PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"2,7270","1,8180","2,27","0,9873","2,24",,2,INTERIOR,2021,20410,535
93,021040,JOAO ALVES DE ALMEIDA PROFESSOR,PIRACICABA,PIRACICABA,3º ANO EM,"0,5557","0,0000","0,28","1,0000","0,28",,3,INTERIOR,2021,20410,535
94,020989,PEDRO MORAES CAVALCANTI,PIRACICABA,PIRACICABA,5º ANO EF,"5,4800","4,9157","5,20","1,0000","5,20",,1,INTERIOR,2021,20410,535
95,020989,PEDRO MORAES CAVALCANTI,PIRACICABA,PIRACICABA,9º ANO EF,"4,5667","3,7000","4,13","0,9954","4,11",,2,INTERIOR,2021,20410,535
96,020989,PEDRO MORAES CAVALCANTI,PIRACICABA,PIRACICABA,3º ANO EM,"4,6573","2,8203","3,74","0,9633","3,60",,3,INTERIOR,2021,20410,535
97,021088,JACANA ALTAIR PEREIRA GUERRINI PROFESSORA,PIRACICABA,PIRACICABA,5º ANO EF,"5,4540","4,3637","4,91","1,0000","4,91",,1,INTERIOR,2021,20410,535
98,021209,JOSE MARTINS DE TOLEDO PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"3,0950","2,4403","2,77","1,0000","2,77",,2,INTERIOR,2021,20410,535
99,021209,JOSE MARTINS DE TOLEDO PROFESSOR,PIRACICABA,PIRACICABA,3º ANO EM,"2,8000","1,2000","2,00","1,0000","2,00",,3,INTERIOR,2021,20410,535
100,020898,HONORATO FAUSTINO,PIRACICABA,PIRACICABA,5º ANO EF,"8,1113","8,5557","8,33","1,0000","8,33",,1,INTERIOR,2021,20410,535
101,037977,HELIO NEHRING PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"3,0513","2,4300","2,74","1,0000","2,74",,2,INTERIOR,2021,20410,535
102,037977,HELIO NEHRING PROFESSOR,PIRACICABA,PIRACICABA,3º ANO EM,"2,0430","1,1827","1,61","1,0000","1,61",,3,INTERIOR,2021,20410,535
103,049955,FRANCISCO MARIANO DA COSTA PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"4,0350","3,8597","3,95","0,9964","3,94",,2,INTERIOR,2021,20410,535
104,020886,FRANCISCA ELISA DA SILVA,PIRACICABA,PIRACICABA,5º ANO EF,"5,6570","5,8590","5,76","1,0000","5,76",,1,INTERIOR,2021,20410,535
105,020886,FRANCISCA ELISA DA SILVA,PIRACICABA,PIRACICABA,9º ANO EF,"4,3370","3,4137","3,88","1,0000","3,88",,2,INTERIOR,2021,20410,535
106,901337,FELIPE CARDOSO,PIRACICABA,PIRACICABA,9º ANO EF,"1,9447","2,0833","2,01","1,0000","2,01",,2,INTERIOR,2021,20410,535
107,901337,FELIPE CARDOSO,PIRACICABA,PIRACICABA,3º ANO EM,"1,1110","0,2777","0,69","1,0000","0,69",,3,INTERIOR,2021,20410,535
108,020825,ELIAS DE MELLO AYRES PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"4,3823","4,0123","4,20","1,0000","4,20",,2,INTERIOR,2021,20410,535
109,020825,ELIAS DE MELLO AYRES PROFESSOR,PIRACICABA,PIRACICABA,3º ANO EM,"3,6433","2,3000","2,97","1,0000","2,97",,3,INTERIOR,2021,20410,535
110,914630,JORGE MADUREIRA PROFESSOR,SOROCABA,SOROCABA,9º ANO EF,"3,7777","3,0000","3,39","1,0000","3,39",,2,INTERIOR,2021,20308,669
111,914630,JORGE MADUREIRA PROFESSOR,SOROCABA,SOROCABA,3º ANO EM,"3,4410","1,6123","2,53","1,0000","2,53",,3,INTERIOR,2021,20308,669
112,920782,EDUIR BENEDICTO SCARPARI PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"4,2690","3,3330","3,80","1,0000","3,80",,2,INTERIOR,2021,20410,535
113,920782,EDUIR BENEDICTO SCARPARI PROFESSOR,PIRACICABA,PIRACICABA,3º ANO EM,"2,6720","1,2470","1,96","1,0000","1,96",,3,INTERIOR,2021,20410,535
114,350308,EDSON RONTANI,PIRACICABA,PIRACICABA,9º ANO EF,"2,6667","2,1903","2,43","1,0000","2,43",,2,INTERIOR,2021,20410,535
115,350308,EDSON RONTANI,PIRACICABA,PIRACICABA,3º ANO EM,"3,0310","1,6160","2,32","1,0000","2,32",,3,INTERIOR,2021,20410,535
116,297653,DIONETTI CALLEGARO MIORI PROFESSORA,PIRACICABA,PIRACICABA,9º ANO EF,"3,4293","2,9527","3,19","0,9975","3,18",,2,INTERIOR,2021,20410,535
117,297653,DIONETTI CALLEGARO MIORI PROFESSORA,PIRACICABA,PIRACICABA,3º ANO EM,"3,1373","1,5687","2,35","1,0000","2,35",,3,INTERIOR,2021,20410,535
118,020916,MORAIS BARROS,PIRACICABA,PIRACICABA,5º ANO EF,"5,5403","5,8107","5,68","1,0000","5,68",,1,INTERIOR,2021,20410,535
119,020837,CATHARINA CASALE PADOVANI PROFESSORA,PIRACICABA,PIRACICABA,9º ANO EF,"3,0257","2,5387","2,78","1,0000","2,78",,2,INTERIOR,2021,20410,535
120,020837,CATHARINA CASALE PADOVANI PROFESSORA,PIRACICABA,PIRACICABA,3º ANO EM,"3,0093","1,8000","2,40","0,9965","2,39",,3,INTERIOR,2021,20410,535
121,920794,CAROLINA MENDES THAME PROFESSORA,PIRACICABA,PIRACICABA,9º ANO EF,"3,5800","2,2223","2,90","1,0000","2,90",,2,INTERIOR,2021,20410,535
122,920794,CAROLINA MENDES THAME PROFESSORA,PIRACICABA,PIRACICABA,3º ANO EM,"2,8063","1,7543","2,28","1,0000","2,28",,3,INTERIOR,2021,20410,535
123,435491,BENEDICTO EVANGELISTA COSTA PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"3,5640","2,9310","3,25","1,0000","3,25",,2,INTERIOR,2021,20410,535
124,435491,BENEDICTO EVANGELISTA COSTA PROFESSOR,PIRACICABA,PIRACICABA,3º ANO EM,"1,3163","0,7457","1,03","1,0000","1,03",,3,INTERIOR,2021,20410,535
125,435508,EE PROF? WILSA APARECIDA GOMES VASCONCELLOS,PIRACICABA,PIRACICABA,9º ANO EF,"2,6667","1,8517","2,26","0,9679","2,19",,2,INTERIOR,2021,20410,535
126,435508,EE PROF? WILSA APARECIDA GOMES VASCONCELLOS,PIRACICABA,PIRACICABA,3º ANO EM,"2,3190","1,3043","1,81","0,9329","1,69",,3,INTERIOR,2021,20410,535
127,920800,AVELINA PALMA LOSSO PROFESSORA,PIRACICABA,PIRACICABA,9º ANO EF,"3,9267","2,7407","3,33","1,0000","3,33",,2,INTERIOR,2021,20410,535
128,920800,AVELINA PALMA LOSSO PROFESSORA,PIRACICABA,PIRACICABA,3º ANO EM,"3,2000","2,1333","2,67","1,0000","2,67",,3,INTERIOR,2021,20410,535
129,446048,EDUARDO MILAD KOAIK DOM,PIRACICABA,PIRACICABA,9º ANO EF,"2,6670","2,1820","2,42","1,0000","2,42",,2,INTERIOR,2021,20410,535
130,914137,AUGUSTO MELEGA,PIRACICABA,PIRACICABA,9º ANO EF,"4,0620","2,5000","3,28","1,0000","3,28",,2,INTERIOR,2021,20410,535
131,914137,AUGUSTO MELEGA,PIRACICABA,PIRACICABA,3º ANO EM,"3,0557","1,1110","2,08","1,0000","2,08",,3,INTERIOR,2021,20410,535
132,462925,ATTILIO VIDAL LAFRATA PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"3,0183","1,8867","2,45","1,0000","2,45",,2,INTERIOR,2021,20410,535
133,462925,ATTILIO VIDAL LAFRATA PROFESSOR,PIRACICABA,PIRACICABA,3º ANO EM,"2,1993","1,2767","1,74","1,0000","1,74",,3,INTERIOR,2021,20410,535
134,036473,DARIO BRASIL DOUTOR,PIRACICABA,PIRACICABA,9º ANO EF,"2,6757","1,7840","2,23","0,9969","2,22",,2,INTERIOR,2021,20410,535
135,036473,DARIO BRASIL DOUTOR,PIRACICABA,PIRACICABA,3º ANO EM,"2,8333","0,8333","1,83","1,0000","1,83",,3,INTERIOR,2021,20410,535
136,048343,ANTONIO PINTO DE ALMEIDA FERRAZ DOUTOR,PIRACICABA,PIRACICABA,9º ANO EF,"4,3920","3,9147","4,15","1,0000","4,15",,2,INTERIOR,2021,20410,535
137,020849,ANTONIO DE MELLO COTRIM PROFESSOR,PIRACICABA,PIRACICABA,3º ANO EM,"2,9333","1,2667","2,10","1,0000","2,10",,3,INTERIOR,2021,20410,535
138,020977,ALFREDO CARDOSO DOUTOR,PIRACICABA,PIRACICABA,9º ANO EF,"1,6667","2,0507","1,86","1,0000","1,86",,2,INTERIOR,2021,20410,535
139,020977,ALFREDO CARDOSO DOUTOR,PIRACICABA,PIRACICABA,3º ANO EM,"3,0083","1,6583","2,33","1,0000","2,33",,3,INTERIOR,2021,20410,535
140,020761,ALCIDES GUIDETTI ZAGATTO PROFESSOR,PIRACICABA,PIRACICABA,5º ANO EF,"6,6663","6,1640","6,42","1,0000","6,42",,1,INTERIOR,2021,20410,535
141,909543,AFFONSO JOSE FIORAVANTI PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"4,3333","3,0000","3,67","1,0000","3,67",,2,INTERIOR,2021,20410,535
142,909543,AFFONSO JOSE FIORAVANTI PROFESSOR,PIRACICABA,PIRACICABA,3º ANO EM,"2,3807","1,7460","2,06","1,0000","2,06",,3,INTERIOR,2021,20410,535
143,048324,ADOLPHO CARVALHO PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"4,7500","3,8750","4,31","1,0000","4,31",,2,INTERIOR,2021,20410,535
144,021246,ABIGAIL DE AZEVEDO GRILLO PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"3,8333","2,5000","3,17","1,0000","3,17",,2,INTERIOR,2021,20410,535
145,021246,ABIGAIL DE AZEVEDO GRILLO PROFESSOR,PIRACICABA,PIRACICABA,3º ANO EM,"2,5000","1,5000","2,00","1,0000","2,00",,3,INTERIOR,2021,20410,535
146,020771,AUGUSTO SAES PROFESSOR,PIRACICABA,PIRACICABA,9º ANO EF,"4,8087","3,9893","4,40","1,0000","4,40",,2,INTERIOR,2021,20410,535
147,021039,MANOEL DIAS DE ALMEIDA PROFESSOR,PIRACICABA,SALTINHO,9º ANO EF,"3,6233","2,9477","3,29","1,0000","3,29",,2,INTERIOR,2021,20410,764
148,021039,MANOEL DIAS DE ALMEIDA PROFESSOR,PIRACICABA,SALTINHO,3º ANO EM,"3,1790","1,9483","2,56","1,0000","2,56",,3,INTERIOR,2021,20410,764
149,919354,VICENTE LUIS GROSSO,PIRACICABA,SAO PEDRO,3º ANO EM,"3,4187","1,5383","2,48","1,0000","2,48",,3,INTERIOR,2021,20410,651
